"id","service_amount","is_customer_charged_for_service","collected_service_charge","collected_total","entire_date","only_date","month_","year_","day_"
24720384,15000,1,0,15000,"2021-06-20 06:48:53","2021-06-20",6,2021,20
24720460,300,1,0,300,"2021-06-20 06:54:26","2021-06-20",6,2021,20
24720469,5000,1,0,5000,"2021-06-20 06:55:15","2021-06-20",6,2021,20
24720533,130000,1,0,130000,"2021-06-20 06:59:56","2021-06-20",6,2021,20
24720615,10000,1,0,10000,"2021-06-20 07:05:01","2021-06-20",6,2021,20
24720690,150,1,0,150,"2021-06-20 07:09:30","2021-06-20",6,2021,20
24720751,500,1,0,500,"2021-06-20 07:12:45","2021-06-20",6,2021,20
24720848,5200,1,0,5200,"2021-06-20 07:18:16","2021-06-20",6,2021,20
24721005,10000,1,0,10000,"2021-06-20 07:26:32","2021-06-20",6,2021,20
24721051,1000,1,0,1000,"2021-06-20 07:29:29","2021-06-20",6,2021,20
24721068,2000,1,0,2000,"2021-06-20 07:30:25","2021-06-20",6,2021,20
24721137,27000,1,0,27000,"2021-06-20 07:36:08","2021-06-20",6,2021,20
24721321,100,1,0,100,"2021-06-20 07:49:39","2021-06-20",6,2021,20
24721340,2e+05,1,0,2e+05,"2021-06-20 07:51:21","2021-06-20",6,2021,20
24721589,130000,1,0,130000,"2021-06-20 08:05:35","2021-06-20",6,2021,20
24721722,150,1,0,150,"2021-06-20 08:11:40","2021-06-20",6,2021,20
24721794,10500,1,0,10500,"2021-06-20 08:14:36","2021-06-20",6,2021,20
24721836,250,1,0,250,"2021-06-20 08:16:48","2021-06-20",6,2021,20
24721862,500,1,0,500,"2021-06-20 08:18:20","2021-06-20",6,2021,20
24721988,300,1,0,300,"2021-06-20 08:23:33","2021-06-20",6,2021,20
24721990,10000,1,0,10000,"2021-06-20 08:23:38","2021-06-20",6,2021,20
24722009,150,1,0,150,"2021-06-20 08:24:27","2021-06-20",6,2021,20
24722133,100,1,0,100,"2021-06-20 08:28:44","2021-06-20",6,2021,20
24722159,300,1,0,300,"2021-06-20 08:29:56","2021-06-20",6,2021,20
24722198,3000,1,0,3000,"2021-06-20 08:31:15","2021-06-20",6,2021,20
24722269,300,1,0,300,"2021-06-20 08:34:04","2021-06-20",6,2021,20
24722296,250,1,0,250,"2021-06-20 08:35:06","2021-06-20",6,2021,20
24722362,500,1,0,500,"2021-06-20 08:37:14","2021-06-20",6,2021,20
24722390,500,1,0,500,"2021-06-20 08:38:17","2021-06-20",6,2021,20
24722398,110000,1,0,110000,"2021-06-20 08:38:35","2021-06-20",6,2021,20
24722467,2e+05,1,0,2e+05,"2021-06-20 08:40:43","2021-06-20",6,2021,20
24722497,3000,1,0,3000,"2021-06-20 08:41:46","2021-06-20",6,2021,20
24722502,400,1,0,400,"2021-06-20 08:41:58","2021-06-20",6,2021,20
24722504,1e+05,1,0,1e+05,"2021-06-20 08:42:03","2021-06-20",6,2021,20
24722551,18000,1,0,18000,"2021-06-20 08:44:10","2021-06-20",6,2021,20
24722555,500,1,0,500,"2021-06-20 08:44:22","2021-06-20",6,2021,20
24722625,1000,1,0,1000,"2021-06-20 08:47:13","2021-06-20",6,2021,20
24722675,1e+05,1,0,1e+05,"2021-06-20 08:49:28","2021-06-20",6,2021,20
24722924,2500,1,0,2500,"2021-06-20 08:59:38","2021-06-20",6,2021,20
24722933,1300,1,0,1300,"2021-06-20 09:00:02","2021-06-20",6,2021,20
24722979,20000,1,0,20000,"2021-06-20 09:01:36","2021-06-20",6,2021,20
24723004,850,1,0,850,"2021-06-20 09:02:39","2021-06-20",6,2021,20
24723027,5000,1,0,5000,"2021-06-20 09:03:43","2021-06-20",6,2021,20
24723133,10000,1,0,10000,"2021-06-20 09:07:35","2021-06-20",6,2021,20
24723287,2000,1,0,2000,"2021-06-20 09:13:24","2021-06-20",6,2021,20
24723501,1000,1,0,1000,"2021-06-20 09:21:48","2021-06-20",6,2021,20
24723540,300,1,0,300,"2021-06-20 09:23:52","2021-06-20",6,2021,20
24723550,250000,1,0,250000,"2021-06-20 09:24:05","2021-06-20",6,2021,20
24723568,500,1,0,500,"2021-06-20 09:24:59","2021-06-20",6,2021,20
24723617,1000,1,0,1000,"2021-06-20 09:26:50","2021-06-20",6,2021,20
24723633,500,1,0,500,"2021-06-20 09:27:11","2021-06-20",6,2021,20
24723666,250,1,0,250,"2021-06-20 09:28:39","2021-06-20",6,2021,20
24723673,5300,1,0,5300,"2021-06-20 09:28:59","2021-06-20",6,2021,20
24723718,15500,1,0,15500,"2021-06-20 09:30:51","2021-06-20",6,2021,20
24723830,10000,1,0,10000,"2021-06-20 09:34:50","2021-06-20",6,2021,20
24723890,250,1,0,250,"2021-06-20 09:37:17","2021-06-20",6,2021,20
24723896,300,1,0,300,"2021-06-20 09:37:33","2021-06-20",6,2021,20
24723931,20000,1,0,20000,"2021-06-20 09:39:23","2021-06-20",6,2021,20
24724030,20000,1,0,20000,"2021-06-20 09:43:13","2021-06-20",6,2021,20
24724052,1500,1,0,1500,"2021-06-20 09:44:10","2021-06-20",6,2021,20
24724077,150,1,0,150,"2021-06-20 09:45:00","2021-06-20",6,2021,20
24724081,11000,1,0,11000,"2021-06-20 09:45:12","2021-06-20",6,2021,20
24724105,300,1,0,300,"2021-06-20 09:45:53","2021-06-20",6,2021,20
24724114,10000,1,0,10000,"2021-06-20 09:46:06","2021-06-20",6,2021,20
24724251,2500,1,0,2500,"2021-06-20 09:51:20","2021-06-20",6,2021,20
24724264,300,1,0,300,"2021-06-20 09:51:47","2021-06-20",6,2021,20
24724358,200,1,0,200,"2021-06-20 09:54:53","2021-06-20",6,2021,20
24724365,200,1,0,200,"2021-06-20 09:55:07","2021-06-20",6,2021,20
24724399,250,1,0,250,"2021-06-20 09:56:50","2021-06-20",6,2021,20
24724402,500,1,0,500,"2021-06-20 09:57:01","2021-06-20",6,2021,20
24724504,1000,1,0,1000,"2021-06-20 10:00:55","2021-06-20",6,2021,20
24724515,30000,1,0,30000,"2021-06-20 10:01:25","2021-06-20",6,2021,20
24724526,500,1,0,500,"2021-06-20 10:01:48","2021-06-20",6,2021,20
24724575,38500,1,0,38500,"2021-06-20 10:03:19","2021-06-20",6,2021,20
24724654,2900,1,0,2900,"2021-06-20 10:06:13","2021-06-20",6,2021,20
24724695,600,1,0,600,"2021-06-20 10:08:01","2021-06-20",6,2021,20
24724760,500,1,0,500,"2021-06-20 10:11:06","2021-06-20",6,2021,20
24724921,10000,1,0,10000,"2021-06-20 10:17:31","2021-06-20",6,2021,20
24724971,250,1,0,250,"2021-06-20 10:19:04","2021-06-20",6,2021,20
24725043,500,1,0,500,"2021-06-20 10:22:18","2021-06-20",6,2021,20
24725117,50000,1,0,50000,"2021-06-20 10:25:02","2021-06-20",6,2021,20
24725144,300,1,0,300,"2021-06-20 10:26:15","2021-06-20",6,2021,20
24725205,5000,1,0,5000,"2021-06-20 10:28:33","2021-06-20",6,2021,20
24725225,5000,1,0,5000,"2021-06-20 10:29:27","2021-06-20",6,2021,20
24725281,52000,1,0,52000,"2021-06-20 10:31:58","2021-06-20",6,2021,20
24725331,10000,1,0,10000,"2021-06-20 10:33:51","2021-06-20",6,2021,20
24725341,1000,1,0,1000,"2021-06-20 10:34:20","2021-06-20",6,2021,20
24725430,500,1,0,500,"2021-06-20 10:37:31","2021-06-20",6,2021,20
24725446,150,1,0,150,"2021-06-20 10:38:06","2021-06-20",6,2021,20
24725457,3200,1,0,3200,"2021-06-20 10:38:34","2021-06-20",6,2021,20
24725679,1e+05,1,0,1e+05,"2021-06-20 10:48:08","2021-06-20",6,2021,20
24725683,20000,1,0,20000,"2021-06-20 10:48:18","2021-06-20",6,2021,20
24725771,150,1,0,150,"2021-06-20 10:51:02","2021-06-20",6,2021,20
24725799,150,1,0,150,"2021-06-20 10:51:48","2021-06-20",6,2021,20
24725878,800,1,0,800,"2021-06-20 10:54:58","2021-06-20",6,2021,20
24725897,100,1,0,100,"2021-06-20 10:55:44","2021-06-20",6,2021,20
24725910,11000,1,0,11000,"2021-06-20 10:55:59","2021-06-20",6,2021,20
24725938,15000,1,0,15000,"2021-06-20 10:57:02","2021-06-20",6,2021,20
24726034,1e+05,1,0,1e+05,"2021-06-20 11:00:20","2021-06-20",6,2021,20
24726070,300,1,0,300,"2021-06-20 11:01:47","2021-06-20",6,2021,20
24726122,500,1,0,500,"2021-06-20 11:03:25","2021-06-20",6,2021,20
24726144,50002,1,3,50005,"2021-06-20 11:04:01","2021-06-20",6,2021,20
24726228,475000,1,0,475000,"2021-06-20 11:07:11","2021-06-20",6,2021,20
24726286,1000,1,0,1000,"2021-06-20 11:09:22","2021-06-20",6,2021,20
24726296,1000,1,0,1000,"2021-06-20 11:09:46","2021-06-20",6,2021,20
24726314,15000,1,0,15000,"2021-06-20 11:10:12","2021-06-20",6,2021,20
24726330,800,1,0,800,"2021-06-20 11:10:53","2021-06-20",6,2021,20
24726385,300,1,0,300,"2021-06-20 11:13:15","2021-06-20",6,2021,20
24726491,500,1,0,500,"2021-06-20 11:17:22","2021-06-20",6,2021,20
24726507,1000,1,0,1000,"2021-06-20 11:17:59","2021-06-20",6,2021,20
24726526,80000,1,0,80000,"2021-06-20 11:18:50","2021-06-20",6,2021,20
24726650,5000,1,0,5000,"2021-06-20 11:23:35","2021-06-20",6,2021,20
24726707,2000,1,0,2000,"2021-06-20 11:25:20","2021-06-20",6,2021,20
24726773,300,1,0,300,"2021-06-20 11:27:39","2021-06-20",6,2021,20
24726801,300,1,0,300,"2021-06-20 11:28:47","2021-06-20",6,2021,20
24726823,5150,1,0,5150,"2021-06-20 11:29:34","2021-06-20",6,2021,20
24726831,300,1,0,300,"2021-06-20 11:30:01","2021-06-20",6,2021,20
24726904,1000,1,0,1000,"2021-06-20 11:32:35","2021-06-20",6,2021,20
24726908,350,1,0,350,"2021-06-20 11:32:51","2021-06-20",6,2021,20
24726935,200,1,0,200,"2021-06-20 11:34:04","2021-06-20",6,2021,20
24727012,100,1,0,100,"2021-06-20 11:36:49","2021-06-20",6,2021,20
24727080,10000,1,0,10000,"2021-06-20 11:39:07","2021-06-20",6,2021,20
24727166,500,1,0,500,"2021-06-20 11:42:05","2021-06-20",6,2021,20
24727368,15500,1,0,15500,"2021-06-20 11:50:58","2021-06-20",6,2021,20
24727525,300,1,0,300,"2021-06-20 11:56:31","2021-06-20",6,2021,20
24727560,25000,1,0,25000,"2021-06-20 11:57:59","2021-06-20",6,2021,20
24727563,5000,1,0,5000,"2021-06-20 11:58:04","2021-06-20",6,2021,20
24727648,100,1,0,100,"2021-06-20 12:01:04","2021-06-20",6,2021,20
24727677,20000,1,0,20000,"2021-06-20 12:01:54","2021-06-20",6,2021,20
24727682,80000,1,0,80000,"2021-06-20 12:02:07","2021-06-20",6,2021,20
24727721,1000,1,0,1000,"2021-06-20 12:03:24","2021-06-20",6,2021,20
24727806,10000,1,0,10000,"2021-06-20 12:06:36","2021-06-20",6,2021,20
24727881,15000,1,0,15000,"2021-06-20 12:09:50","2021-06-20",6,2021,20
24727905,15500,1,0,15500,"2021-06-20 12:10:46","2021-06-20",6,2021,20
24728114,200,1,0,200,"2021-06-20 12:17:31","2021-06-20",6,2021,20
24728205,3000,1,0,3000,"2021-06-20 12:20:28","2021-06-20",6,2021,20
24728224,1000,1,0,1000,"2021-06-20 12:21:12","2021-06-20",6,2021,20
24728319,5000,1,25,5025,"2021-06-20 12:25:21","2021-06-20",6,2021,20
24728345,3000,1,0,3000,"2021-06-20 12:26:14","2021-06-20",6,2021,20
24728365,900,1,0,900,"2021-06-20 12:26:57","2021-06-20",6,2021,20
24728380,1500,1,0,1500,"2021-06-20 12:27:23","2021-06-20",6,2021,20
24728417,200,1,0,200,"2021-06-20 12:29:11","2021-06-20",6,2021,20
24728474,5000,1,0,5000,"2021-06-20 12:31:27","2021-06-20",6,2021,20
24728531,30000,1,0,30000,"2021-06-20 12:33:59","2021-06-20",6,2021,20
24728583,200,1,0,200,"2021-06-20 12:35:43","2021-06-20",6,2021,20
24728585,25000,1,0,25000,"2021-06-20 12:35:47","2021-06-20",6,2021,20
24728654,40000,1,0,40000,"2021-06-20 12:37:56","2021-06-20",6,2021,20
24728665,10000,1,0,10000,"2021-06-20 12:38:28","2021-06-20",6,2021,20
24728675,75000,1,0,75000,"2021-06-20 12:38:48","2021-06-20",6,2021,20
24728692,300,1,0,300,"2021-06-20 12:39:25","2021-06-20",6,2021,20
24728725,2150,1,0,2150,"2021-06-20 12:40:43","2021-06-20",6,2021,20
24728732,200,1,0,200,"2021-06-20 12:40:59","2021-06-20",6,2021,20
24728751,250,1,0,250,"2021-06-20 12:41:39","2021-06-20",6,2021,20
24728769,1100,1,0,1100,"2021-06-20 12:42:11","2021-06-20",6,2021,20
24728776,5000,1,0,5000,"2021-06-20 12:42:32","2021-06-20",6,2021,20
24728809,5000,1,0,5000,"2021-06-20 12:43:40","2021-06-20",6,2021,20
24728910,3000,1,0,3000,"2021-06-20 12:46:57","2021-06-20",6,2021,20
24728994,200,1,0,200,"2021-06-20 12:50:26","2021-06-20",6,2021,20
24729032,20000,1,0,20000,"2021-06-20 12:52:10","2021-06-20",6,2021,20
24729046,3000,1,0,3000,"2021-06-20 12:52:48","2021-06-20",6,2021,20
24729110,13000,1,0,13000,"2021-06-20 12:55:17","2021-06-20",6,2021,20
24729165,52000,1,0,52000,"2021-06-20 12:57:09","2021-06-20",6,2021,20
24729169,3000,1,0,3000,"2021-06-20 12:57:16","2021-06-20",6,2021,20
24729180,40000,1,0,40000,"2021-06-20 12:57:38","2021-06-20",6,2021,20
24729184,5500,1,0,5500,"2021-06-20 12:57:51","2021-06-20",6,2021,20
24729213,10000,1,0,10000,"2021-06-20 12:58:58","2021-06-20",6,2021,20
24729303,300,1,0,300,"2021-06-20 13:02:27","2021-06-20",6,2021,20
24729466,3000,1,0,3000,"2021-06-20 13:08:30","2021-06-20",6,2021,20
24729526,10000,1,0,10000,"2021-06-20 13:10:50","2021-06-20",6,2021,20
24729528,350,1,0,350,"2021-06-20 13:10:52","2021-06-20",6,2021,20
24729561,10000,1,0,10000,"2021-06-20 13:12:05","2021-06-20",6,2021,20
24729611,500,1,0,500,"2021-06-20 13:13:45","2021-06-20",6,2021,20
24729641,500,1,0,500,"2021-06-20 13:15:04","2021-06-20",6,2021,20
24729712,10000,1,0,10000,"2021-06-20 13:17:33","2021-06-20",6,2021,20
24729720,15000,1,0,15000,"2021-06-20 13:17:56","2021-06-20",6,2021,20
24729752,20000,1,0,20000,"2021-06-20 13:19:12","2021-06-20",6,2021,20
24729772,10000,1,0,10000,"2021-06-20 13:20:22","2021-06-20",6,2021,20
24729921,1500,1,0,1500,"2021-06-20 13:26:08","2021-06-20",6,2021,20
24729945,5000,1,0,5000,"2021-06-20 13:27:21","2021-06-20",6,2021,20
24729951,7150,1,0,7150,"2021-06-20 13:27:36","2021-06-20",6,2021,20
24729975,50000,1,0,50000,"2021-06-20 13:28:33","2021-06-20",6,2021,20
24729986,1000,1,0,1000,"2021-06-20 13:29:18","2021-06-20",6,2021,20
24730021,100,1,0,100,"2021-06-20 13:30:13","2021-06-20",6,2021,20
24730157,200,1,0,200,"2021-06-20 13:35:15","2021-06-20",6,2021,20
24730173,450000,1,0,450000,"2021-06-20 13:35:48","2021-06-20",6,2021,20
24730180,250,1,0,250,"2021-06-20 13:36:20","2021-06-20",6,2021,20
24730217,150,1,0,150,"2021-06-20 13:37:53","2021-06-20",6,2021,20
24730286,1e+05,1,0,1e+05,"2021-06-20 13:40:12","2021-06-20",6,2021,20
24730287,20000,1,0,20000,"2021-06-20 13:40:18","2021-06-20",6,2021,20
24730380,250,1,0,250,"2021-06-20 13:44:26","2021-06-20",6,2021,20
24730395,100,1,0,100,"2021-06-20 13:45:10","2021-06-20",6,2021,20
24730428,45000,1,0,45000,"2021-06-20 13:46:58","2021-06-20",6,2021,20
24730566,10000,1,0,10000,"2021-06-20 13:52:48","2021-06-20",6,2021,20
24730679,10000,1,0,10000,"2021-06-20 13:57:51","2021-06-20",6,2021,20
24730692,10000,1,0,10000,"2021-06-20 13:58:16","2021-06-20",6,2021,20
24730845,8200,1,0,8200,"2021-06-20 14:05:07","2021-06-20",6,2021,20
24730875,15000,1,0,15000,"2021-06-20 14:06:12","2021-06-20",6,2021,20
24730887,500,1,0,500,"2021-06-20 14:06:40","2021-06-20",6,2021,20
24730962,10000,1,0,10000,"2021-06-20 14:10:06","2021-06-20",6,2021,20
24731048,35000,1,0,35000,"2021-06-20 14:13:07","2021-06-20",6,2021,20
24731057,6000,1,0,6000,"2021-06-20 14:13:19","2021-06-20",6,2021,20
24731201,300,1,0,300,"2021-06-20 14:19:05","2021-06-20",6,2021,20
24731281,10000,1,0,10000,"2021-06-20 14:22:14","2021-06-20",6,2021,20
24731286,10000,1,0,10000,"2021-06-20 14:22:21","2021-06-20",6,2021,20
24731311,20000,1,0,20000,"2021-06-20 14:23:35","2021-06-20",6,2021,20
24731422,25000,1,0,25000,"2021-06-20 14:28:10","2021-06-20",6,2021,20
24731461,25000,1,0,25000,"2021-06-20 14:29:36","2021-06-20",6,2021,20
24731467,25000,1,0,25000,"2021-06-20 14:29:51","2021-06-20",6,2021,20
24731519,20000,1,0,20000,"2021-06-20 14:32:19","2021-06-20",6,2021,20
24731524,300,1,0,300,"2021-06-20 14:32:34","2021-06-20",6,2021,20
24731552,500,1,0,500,"2021-06-20 14:33:46","2021-06-20",6,2021,20
24731575,100,1,0,100,"2021-06-20 14:34:10","2021-06-20",6,2021,20
24731610,500,1,0,500,"2021-06-20 14:35:24","2021-06-20",6,2021,20
24731612,150,1,0,150,"2021-06-20 14:35:30","2021-06-20",6,2021,20
24731638,500,1,0,500,"2021-06-20 14:36:15","2021-06-20",6,2021,20
24731652,10000,1,0,10000,"2021-06-20 14:36:57","2021-06-20",6,2021,20
24731693,500,1,0,500,"2021-06-20 14:38:55","2021-06-20",6,2021,20
24731716,25000,1,0,25000,"2021-06-20 14:39:48","2021-06-20",6,2021,20
24731740,300,1,0,300,"2021-06-20 14:40:49","2021-06-20",6,2021,20
24731775,25000,1,0,25000,"2021-06-20 14:42:08","2021-06-20",6,2021,20
24731838,50000,1,0,50000,"2021-06-20 14:44:33","2021-06-20",6,2021,20
24731870,5000,1,0,5000,"2021-06-20 14:45:23","2021-06-20",6,2021,20
24731880,5200,1,0,5200,"2021-06-20 14:45:39","2021-06-20",6,2021,20
24731903,200,1,0,200,"2021-06-20 14:46:39","2021-06-20",6,2021,20
24732149,1000,1,0,1000,"2021-06-20 14:56:32","2021-06-20",6,2021,20
24732192,400,1,0,400,"2021-06-20 14:58:05","2021-06-20",6,2021,20
24732219,500,1,0,500,"2021-06-20 14:59:29","2021-06-20",6,2021,20
24732298,250,1,0,250,"2021-06-20 15:02:54","2021-06-20",6,2021,20
24732373,50000,1,0,50000,"2021-06-20 15:05:49","2021-06-20",6,2021,20
24732398,10000,1,0,10000,"2021-06-20 15:06:45","2021-06-20",6,2021,20
24732424,200,1,0,200,"2021-06-20 15:07:58","2021-06-20",6,2021,20
24732434,2000,1,0,2000,"2021-06-20 15:08:29","2021-06-20",6,2021,20
24732478,300,1,0,300,"2021-06-20 15:10:18","2021-06-20",6,2021,20
24732556,10000,1,0,10000,"2021-06-20 15:13:59","2021-06-20",6,2021,20
24732564,1300,1,0,1300,"2021-06-20 15:14:20","2021-06-20",6,2021,20
24732590,10000,1,0,10000,"2021-06-20 15:15:36","2021-06-20",6,2021,20
24732654,180000,1,0,180000,"2021-06-20 15:18:25","2021-06-20",6,2021,20
24732697,25000,1,0,25000,"2021-06-20 15:20:05","2021-06-20",6,2021,20
24732815,2e+05,1,0,2e+05,"2021-06-20 15:25:19","2021-06-20",6,2021,20
24732881,300,1,0,300,"2021-06-20 15:27:34","2021-06-20",6,2021,20
24732980,25000,1,0,25000,"2021-06-20 15:31:35","2021-06-20",6,2021,20
24733006,3150,1,0,3150,"2021-06-20 15:32:24","2021-06-20",6,2021,20
24733007,70000,1,0,70000,"2021-06-20 15:32:25","2021-06-20",6,2021,20
24733044,3000,1,0,3000,"2021-06-20 15:33:57","2021-06-20",6,2021,20
24733056,10000,1,0,10000,"2021-06-20 15:34:41","2021-06-20",6,2021,20
24733060,4000,1,0,4000,"2021-06-20 15:34:50","2021-06-20",6,2021,20
24733091,500,1,0,500,"2021-06-20 15:36:05","2021-06-20",6,2021,20
24733112,48000,1,0,48000,"2021-06-20 15:36:54","2021-06-20",6,2021,20
24733147,20000,1,100,20100,"2021-06-20 15:38:35","2021-06-20",6,2021,20
24733149,2e+05,1,0,2e+05,"2021-06-20 15:38:42","2021-06-20",6,2021,20
24733164,6000,1,0,6000,"2021-06-20 15:39:08","2021-06-20",6,2021,20
24733199,1000,1,0,1000,"2021-06-20 15:40:21","2021-06-20",6,2021,20
24733225,20000,1,0,20000,"2021-06-20 15:41:22","2021-06-20",6,2021,20
24733262,7000,1,0,7000,"2021-06-20 15:43:00","2021-06-20",6,2021,20
24733267,6000,1,0,6000,"2021-06-20 15:43:13","2021-06-20",6,2021,20
24733444,200,1,0,200,"2021-06-20 15:49:51","2021-06-20",6,2021,20
24733540,200,1,0,200,"2021-06-20 15:52:37","2021-06-20",6,2021,20
24733610,150,1,0,150,"2021-06-20 15:54:58","2021-06-20",6,2021,20
24733688,300,1,0,300,"2021-06-20 15:58:16","2021-06-20",6,2021,20
24733758,150,1,0,150,"2021-06-20 16:00:48","2021-06-20",6,2021,20
24733783,30000,1,0,30000,"2021-06-20 16:01:46","2021-06-20",6,2021,20
24733819,300,1,0,300,"2021-06-20 16:03:22","2021-06-20",6,2021,20
24733846,200,1,0,200,"2021-06-20 16:04:04","2021-06-20",6,2021,20
24733875,300,1,0,300,"2021-06-20 16:04:53","2021-06-20",6,2021,20
24733881,3000,1,0,3000,"2021-06-20 16:05:08","2021-06-20",6,2021,20
24733893,150,1,0,150,"2021-06-20 16:05:22","2021-06-20",6,2021,20
24733969,1000,1,0,1000,"2021-06-20 16:08:13","2021-06-20",6,2021,20
24734023,175,1,0,175,"2021-06-20 16:10:09","2021-06-20",6,2021,20
24734048,6000,1,0,6000,"2021-06-20 16:11:06","2021-06-20",6,2021,20
24734055,550,1,0,550,"2021-06-20 16:11:23","2021-06-20",6,2021,20
24734106,800,1,0,800,"2021-06-20 16:13:19","2021-06-20",6,2021,20
24734111,5000,1,0,5000,"2021-06-20 16:13:31","2021-06-20",6,2021,20
24734141,550,1,0,550,"2021-06-20 16:14:26","2021-06-20",6,2021,20
24734186,500,1,0,500,"2021-06-20 16:16:15","2021-06-20",6,2021,20
24734192,15000,1,0,15000,"2021-06-20 16:16:32","2021-06-20",6,2021,20
24734202,1e+05,1,0,1e+05,"2021-06-20 16:16:54","2021-06-20",6,2021,20
24734273,5100,1,0,5100,"2021-06-20 16:19:31","2021-06-20",6,2021,20
24734315,10000,1,0,10000,"2021-06-20 16:21:10","2021-06-20",6,2021,20
24734442,10000,1,0,10000,"2021-06-20 16:25:52","2021-06-20",6,2021,20
24734480,50000,1,0,50000,"2021-06-20 16:26:56","2021-06-20",6,2021,20
24734507,25500,1,0,25500,"2021-06-20 16:27:59","2021-06-20",6,2021,20
24734509,2000,1,0,2000,"2021-06-20 16:28:02","2021-06-20",6,2021,20
24734534,5000,1,0,5000,"2021-06-20 16:29:09","2021-06-20",6,2021,20
24734560,5000,1,0,5000,"2021-06-20 16:30:09","2021-06-20",6,2021,20
24734685,400,1,0,400,"2021-06-20 16:35:00","2021-06-20",6,2021,20
24734695,300,1,0,300,"2021-06-20 16:35:24","2021-06-20",6,2021,20
24734718,10000,1,0,10000,"2021-06-20 16:36:23","2021-06-20",6,2021,20
24734764,650,1,0,650,"2021-06-20 16:38:01","2021-06-20",6,2021,20
24734849,5000,1,0,5000,"2021-06-20 16:41:05","2021-06-20",6,2021,20
24734885,45000,1,0,45000,"2021-06-20 16:42:10","2021-06-20",6,2021,20
